ID,Scanner,Volume,Area,3D_model
CTC_1365,Artec.Spider,4461.63,1795.01,TRUE
CTC_1366,Artec.Spider,15125.47,3794.19,TRUE
CTC_1367,Artec.Spider,55068.09,9088.91,TRUE
CTC_1369,Artec.Spider,32098.89,7156.54,TRUE
CTC_1370,Artec.Spider,57862.92,11536.88,TRUE
CTC_1371,Artec.Spider,17981.8,6132.13,TRUE
CTC_1374,Artec.Spider,12027.87,3469.67,TRUE
CTC_14,Artec.Spider,9229.53,2885.87,TRUE
CTC_142,Artec.Micro,166.83,257.28,TRUE
CTC_144,Artec.Micro,212.37,385.07,TRUE
CTC_145,Artec.Micro,58.51,154.82,TRUE
CTC_146,Artec.Micro,18.6,59.21,TRUE
CTC_149,Artec.Micro,40.82,90.3,TRUE
CTC_1498,Artec.Spider,6375.44,3224.67,TRUE
CTC_15,Artec.Spider,10784.81,3096.95,TRUE
CTC_1500,Artec.Spider,1382.97,1077.33,TRUE
CTC_1501,Artec.Spider,10247.45,3570.8,TRUE
CTC_1502,Artec.Spider,3254.51,1851.26,TRUE
CTC_1503,Artec.Spider,2399.14,1514.26,TRUE
CTC_1505,Artec.Spider,1065.31,843.84,TRUE
CTC_1506,Artec.Spider,1234.84,975.74,TRUE
CTC_1508,Artec.Spider,2901.81,1256.88,TRUE
CTC_1509,Artec.Spider,840.74,590.75,TRUE
CTC_1512,Artec.Spider,6126.98,2067.87,TRUE
CTC_1513,Artec.Spider,8404.46,3002.84,TRUE
CTC_1515,Artec.Spider,3863.88,1750.5,TRUE
CTC_1517,Artec.Spider,5352.82,2816.65,TRUE
CTC_154,Artec.Micro,118.17,278.99,TRUE
CTC_16,Artec.Spider,8063.12,2528.3,TRUE
CTC_1660,Artec.Spider,2838.38,1459.52,TRUE
CTC_17,Artec.Spider,17951.14,4546.39,TRUE
CTC_1766,Artec.Spider,4092.07,2278.51,TRUE
CTC_18,Artec.Spider,27746.82,5529.33,TRUE
CTC_1845,Artec.Micro,44.92,128.79,TRUE
CTC_1846,Artec.Micro,10.54,39.28,TRUE
CTC_1847,Artec.Micro,18.67,66.49,TRUE
CTC_1848,Artec.Micro,14.46,48.33,TRUE
CTC_1849,Artec.Micro,38.79,97.82,TRUE
CTC_1851,Artec.Micro,25.86,76.77,TRUE
CTC_1870,Artec.Micro,65.54,157.33,TRUE
CTC_1871,Artec.Micro,2880.27,1372.67,TRUE
CTC_1888,Artec.Micro,478.94,578.49,TRUE
CTC_1889,Artec.Micro,11902.92,3787.47,TRUE
CTC_1899,Artec.Micro,42.78,114.22,TRUE
CTC_19,Artec.Spider,16830.02,4291.91,TRUE
CTC_193,Artec.Micro,102.67,218.9,TRUE
CTC_194,Artec.Micro,94.91,220.04,TRUE
CTC_195,Artec.Micro,685.21,779.58,TRUE
CTC_1950,Artec.Micro,20888.17,4805.9,TRUE
CTC_1954,Artec.Micro,134.28,287.31,TRUE
CTC_1961,Artec.Micro,43.89,114.75,TRUE
CTC_1963,Artec.Micro,41.3,94.49,TRUE
CTC_1965,Artec.Micro,19019.43,4480.21,TRUE
CTC_1966,Artec.Micro,12609.99,3474.1,TRUE
CTC_1967,Artec.Micro,4383.73,1719.23,TRUE
CTC_2,Artec.Spider,7739.2,2531.28,TRUE
CTC_20,Artec.Spider,31984.67,6304.39,TRUE
CTC_21,Artec.Spider,5245.08,1990,TRUE
CTC_217,Artec.Micro,108.07,259.12,TRUE
CTC_218,Artec.Micro,45.79,141.23,TRUE
CTC_22,Artec.Spider,6255.48,2101.46,TRUE
CTC_220,Artec.Spider,1148.16,1109.05,TRUE
CTC_221,Artec.Spider,7573.43,3239.3,TRUE
CTC_222,Artec.Spider,4135.77,2518.69,TRUE
CTC_223,Artec.Spider,2524.47,1697.41,TRUE
CTC_23,Artec.Spider,5370.43,1998.88,TRUE
CTC_230,Artec.Spider,1796.1,1465.86,TRUE
CTC_24,Artec.Spider,4084.39,1511.52,TRUE
CTC_25,Artec.Spider,14456.08,3912.9,TRUE
CTC_26,Artec.Spider,13011.77,3738.64,TRUE
CTC_27,Artec.Spider,5219.49,2046.89,TRUE
CTC_28,Artec.Spider,8754.26,2566.89,TRUE
CTC_29,Artec.Spider,4974.51,1798.71,TRUE
CTC_290,Artec.Spider,15341.9,4979.15,TRUE
CTC_291,Artec.Spider,5772.58,2808.43,TRUE
CTC_292,Artec.Spider,2707.15,1515.45,TRUE
CTC_293,Artec.Spider,1311.03,1204.42,TRUE
CTC_295,Artec.Spider,1693.43,1622.59,TRUE
CTC_296,Artec.Spider,2089.06,1526.61,TRUE
CTC_3,Artec.Spider,5685.07,2436.86,TRUE
CTC_30,Artec.Spider,45568.27,7523.92,TRUE
CTC_31,Artec.Spider,20963.03,4754.74,TRUE
